,Retrieve_date,VM_serial,Code,Description,Values
0,2019-12-03 13:11:55,1190466,ID101,Machine Serial Number,NEC01190466
1,2019-12-03 13:11:55,1190466,ID102,Machine Model Number,CONCERTO
2,2019-12-03 13:11:55,1190466,ID106,Machine Asset Number,01190466
3,2019-12-03 13:11:55,1190466,ID401,Decimal Point Position,0
4,2019-12-03 13:11:55,1190466,ID501,System Date,191203
5,2019-12-03 13:11:55,1190466,ID502,System Time,130650
6,2019-12-03 13:11:55,1190466,CB103,Control Board Software Revision,1.6
7,2019-12-03 13:11:55,1190466,VA101,All Paid Vends Cumulative Sales Value,517900
8,2019-12-03 13:11:55,1190466,VA102,All Paid Vends Cumulative Item Counts,22659
9,2019-12-03 13:11:55,1190466,VA103,All Paid Vends Interval Period Sales Value,0
10,2019-12-03 13:11:55,1190466,VA104,All Paid Vends Interval Period Item Counts,192
11,2019-12-03 13:11:55,1190466,VA201,Test Vends Cumulative Sales Value,137
12,2019-12-03 13:11:55,1190466,VA202,Test Vends Cumulative Item Counts,139
13,2019-12-03 13:11:55,1190466,VA203,Test Vends Interval Period Sales Value,0
14,2019-12-03 13:11:55,1190466,VA204,Test Vends Interval Period Item Counts,0
15,2019-12-03 13:11:55,1190466,VA301,Free Vends Cumulative Sales Value,3397
16,2019-12-03 13:11:55,1190466,VA302,Free Vends Cumulative Item Counts,3341
17,2019-12-03 13:11:55,1190466,VA303,Free Vends Interval Period Sales Value,97
18,2019-12-03 13:11:55,1190466,VA304,Free Vends Interval Period Item Counts,97
19,2019-12-03 13:11:55,1190466,CA201,Value of Cash Sales Since Initialisation,0
20,2019-12-03 13:11:55,1190466,CA202,Number of Cash Vends Since Initialisation,0
21,2019-12-03 13:11:55,1190466,CA203,Value of Cash Sales Since Last Reset,0
22,2019-12-03 13:11:55,1190466,CA204,Number of Cash Vends Since Last Reset,0
23,2019-12-03 13:11:55,1190466,CA301,Value of Cash In Since Last Reset,0
24,2019-12-03 13:11:55,1190466,CA302,Value of Cash To Cash Box Since Last Reset,0
25,2019-12-03 13:11:55,1190466,CA303,Value of Cash to Tubes Since Last Reset,0
26,2019-12-03 13:11:55,1190466,CA304,Value of Bills In Since Last Reset,0
27,2019-12-03 13:11:55,1190466,CA305,Value of Cash In Since Initialisation,300
28,2019-12-03 13:11:55,1190466,CA306,Value of Cash To Cash Box Since Initialisation,0
29,2019-12-03 13:11:55,1190466,CA307,Value of Cash To Tubes Since Initilisation,0
30,2019-12-03 13:11:55,1190466,CA308,Value of Bills In Since Initialisation,240750
31,2019-12-03 13:11:55,1190466,CA309,Value of Bills In Since Last Reset,0
32,2019-12-03 13:11:55,1190466,CA310,Value of Bills In Since Initialisation,127190
33,2019-12-03 13:11:55,1190466,CA401,Value of Cash Dispensed Since Last Reset,0
